,treatment,estimate,stderr,lower,upper,rmse y,accuracy y,rmse D,accuracy D,rmse final,n,rmse D1,rmse D2,learner_y,learner_d
5,OPP_treated,0.012664860402375635,0.002535363367615153,0.007695548201849935,0.017634172602901333,0.24707641890082543,0.9109534529413102,0.46801798000785716,0.6616413125042636,0.2469391640579477,43977,0.15630702870399935,0.46801798000785716,Logit,Tree
8,CVE_treated,0.03946132672460765,0.007513117433374966,0.024735616555192717,0.054187036894022586,0.24707641890082543,0.9109534529413102,0.15805106635449587,0.9749414466653024,0.24695932225491957,43977,0.15805106635449587,0.4668952252501671,Logit,MLP
9,OPP_treated,0.010932602340055842,0.0025422423370742085,0.005949807359390394,0.01591539732072129,0.24707641890082543,0.9109534529413102,0.4668952252501671,0.6572981331150374,0.24695932225491957,43977,0.15805106635449587,0.4668952252501671,Logit,MLP
0,CVE_treated,0.041787705529986334,0.007608071089894503,0.026875886193793108,0.05669952486617956,0.24707641890082543,0.9109534529413102,0.30375998454712716,0.9749414466653024,0.24692777679899566,43977,0.30375998454712716,0.46243773048623077,Logit,Logit
1,OPP_treated,0.01380946702237674,0.0025678669165570787,0.008776447865924866,0.018842486178828614,0.24707641890082543,0.9109534529413102,0.46243773048623077,0.6610046160492985,0.24692777679899566,43977,0.30375998454712716,0.46243773048623077,Logit,Logit
16,CVE_treated,0.043517621799740336,0.007622766152000836,0.028577000141818697,0.05845824345766197,0.24771369394772627,0.9072924483252609,0.1561362489549259,0.9749187075061965,0.24755665897111553,43977,0.1561362489549259,0.4614341905093716,RF,GBF
17,OPP_treated,0.01419753834359052,0.0025793278278221964,0.009142055801059014,0.019253020886122026,0.24771369394772627,0.9072924483252609,0.4614341905093716,0.6640061850512768,0.24755665897111553,43977,0.1561362489549259,0.4614341905093716,RF,GBF
10,CVE_treated,0.04210769816546276,0.0076304745479893665,0.027151968051403602,0.05706342827952192,0.24780292953933636,0.9072924483252609,0.30375998454712716,0.9749414466653024,0.24765490408718854,43977,0.30375998454712716,0.46243773048623077,RF,Logit
11,OPP_treated,0.013849554724088355,0.002575428504531025,0.008801714855207546,0.018897394592969165,0.24780292953933636,0.9072924483252609,0.46243773048623077,0.6610046160492985,0.24765490408718854,43977,0.30375998454712716,0.46243773048623077,RF,Logit
12,CVE_treated,0.04472030814287803,0.0076115030134689425,0.0298017622364789,0.05963885404927716,0.24781239274794567,0.9072924483252609,0.15630752295525277,0.9749414466653024,0.24764981166650682,43977,0.15630752295525277,0.46873817338456986,RF,RF
13,OPP_treated,0.013949349815035634,0.0025381658114407507,0.008974544824611762,0.018924154805459507,0.24781239274794567,0.9072924483252609,0.46873817338456986,0.6535916501807764,0.24764981166650682,43977,0.15630752295525277,0.46873817338456986,RF,RF
14,CVE_treated,0.04531038061819864,0.007615103074888791,0.03038477859141661,0.06023598264498067,0.2478775378554486,0.9072924483252609,0.15630702870399935,0.9749414466653024,0.24770884729645798,43977,0.15630702870399935,0.46801798000785716,RF,Tree
