treatment,estimate,stderr,lower,upper,rmse y,accuracy y,rmse D,accuracy D,rmse final,n,rmse D1,rmse D2,learner_y,learner_d
OPP_treated,0.05189790056873874,0.0036534983936996825,0.044737043717087366,0.059058757420390115,0.3590082147614228,0.7964845260022284,0.47150982609325554,0.6439957250380881,0.3577102972157214,43977,0.17367285848228678,0.47150982609325554,RF,RF
CVE_treated,0.11907218566109903,0.009952224737177478,0.09956582517623118,0.13857854614596687,0.3590263916755648,0.8018964458694318,0.17340963234422255,0.9688246128658162,0.3579533735270399,43977,0.17340963234422255,0.4644055298940157,MLP,GBF
OPP_treated,0.04652527250951605,0.0037161733031387495,0.0392415728353641,0.053808972183667994,0.3590263916755648,0.8018964458694318,0.4644055298940157,0.6539099984082588,0.3579533735270399,43977,0.17340963234422255,0.4644055298940157,MLP,GBF
CVE_treated,0.1193171060821488,0.009843717801452786,0.10002341919130134,0.13861079297299625,0.35908140276083783,0.7953703072060395,0.17524015386037353,0.968870091184028,0.35795496272128374,43977,0.17524015386037353,0.46863117605886234,RF,MLP
OPP_treated,0.047984682031312176,0.003680685339491616,0.04077053876590861,0.05519882529671574,0.35908140276083783,0.7953703072060395,0.46863117605886234,0.6517270391340928,0.35795496272128374,43977,0.17524015386037353,0.46863117605886234,RF,MLP
CVE_treated,0.12744683693920147,0.009922792157125911,0.10799816431123468,0.14689550956716826,0.35909585690145845,0.7948700457057098,0.17367264291766235,0.968870091184028,0.3577217338544568,43977,0.17367264291766235,0.47064154408206255,RF,Tree
OPP_treated,0.054419716902774216,0.0036616349764376087,0.0472429123489565,0.06159652145659193,0.35909585690145845,0.7948700457057098,0.47064154408206255,0.6523637355890579,0.3577217338544568,43977,0.17367264291766235,0.47064154408206255,RF,Tree
CVE_treated,0.1263820923810369,0.009956493164800448,0.10686736577802802,0.14589681898404577,0.3590997326879334,0.7952566114105101,0.17329819047354966,0.9688473520249221,0.35786193002850464,43977,0.17329819047354966,0.46434918647214657,RF,GBF
OPP_treated,0.05100085682862938,0.003715828978064036,0.04371783203162387,0.05828388162563489,0.3590997326879334,0.7952566114105101,0.46434918647214657,0.6541601291584237,0.35786193002850464,43977,0.17329819047354966,0.46434918647214657,RF,GBF
CVE_treated,0.12478900820376233,0.009957410643695687,0.10527248334211879,0.1443055330654059,0.359166519540142,0.795938786183687,0.31006606033068485,0.968870091184028,0.35799498314204675,43977,0.31006606033068485,0.46560392715919485,RF,Logit
OPP_treated,0.04890762647925506,0.0037077709722048106,0.04164039537373363,0.05617485758477649,0.359166519540142,0.795938786183687,0.46560392715919485,0.6528412579302817,0.35799498314204675,43977,0.31006606033068485,0.46560392715919485,RF,Logit
